Epoch:[84]	 loss=23.8799	 mse=1.1895	 divloss=4.5381	
Epoch:[85]	 loss=23.8426	 mse=1.1923	 divloss=4.5301	
Epoch:[86]	 loss=23.7999	 mse=1.1872	 divloss=4.5225	
Epoch:[87]	 loss=23.7609	 mse=1.1845	 divloss=4.5153	
Epoch:[88]	 loss=23.7218	 mse=1.1812	 divloss=4.5081	
Epoch:[89]	 loss=23.6822	 mse=1.1773	 divloss=4.5010	
Epoch:[90]	 loss=23.6448	 mse=1.1753	 divloss=4.4939	
Epoch:[91]	 loss=23.6097	 mse=1.1747	 divloss=4.4870	
Epoch:[92]	 loss=23.5743	 mse=1.1722	 divloss=4.4804	
Epoch:[93]	 loss=23.5345	 mse=1.1633	 divloss=4.4742	
Epoch:[94]	 loss=23.5024	 mse=1.1610	 divloss=4.4683	
Epoch:[95]	 loss=23.5108	 mse=1.1997	 divloss=4.4622	
Epoch:[96]	 loss=23.5559	 mse=1.2700	 divloss=4.4572	
Epoch:[97]	 loss=23.4624	 mse=1.2007	 divloss=4.4523	
Epoch:[98]	 loss=23.4253	 mse=1.1868	 divloss=4.4477	
Epoch:[99]	 loss=23.3782	 mse=1.1628	 divloss=4.4431	
Epoch:[100]	 loss=23.3648	 mse=1.1731	 divloss=4.4383	
Epoch:[101]	 loss=23.3505	 mse=1.1830	 divloss=4.4335	
Epoch:[102]	 loss=23.3317	 mse=1.1885	 divloss=4.4286	
Epoch:[103]	 loss=23.3093	 mse=1.1903	 divloss=4.4238	
Epoch:[104]	 loss=23.2850	 mse=1.1899	 divloss=4.4190	
Epoch:[105]	 loss=23.2635	 mse=1.1919	 divloss=4.4143	
Epoch:[106]	 loss=23.2432	 mse=1.1932	 divloss=4.4100	
Epoch:[107]	 loss=23.2153	 mse=1.1848	 divloss=4.4061	
Epoch:[108]	 loss=23.1925	 mse=1.1809	 divloss=4.4023	
Epoch:[109]	 loss=23.1726	 mse=1.1805	 divloss=4.3984	
Epoch:[110]	 loss=23.1490	 mse=1.1771	 divloss=4.3944	
Epoch:[111]	 loss=23.1212	 mse=1.1700	 divloss=4.3902	
Epoch:[112]	 loss=23.1055	 mse=1.1749	 divloss=4.3861	
Epoch:[113]	 loss=23.0766	 mse=1.1642	 divloss=4.3825	
Epoch:[114]	 loss=23.1006	 mse=1.2060	 divloss=4.3789	
Epoch:[115]	 loss=23.2072	 mse=1.3305	 divloss=4.3753	
Epoch:[116]	 loss=23.0360	 mse=1.1693	 divloss=4.3733	
Epoch:[117]	 loss=23.0474	 mse=1.1905	 divloss=4.3714	
Epoch:[118]	 loss=23.0459	 mse=1.1999	 divloss=4.3692	
Epoch:[119]	 loss=23.0297	 mse=1.1953	 divloss=4.3669	
Epoch:[120]	 loss=23.0126	 mse=1.1905	 divloss=4.3644	
Epoch:[121]	 loss=22.9976	 mse=1.1883	 divloss=4.3619	
Epoch:[122]	 loss=22.9840	 mse=1.1879	 divloss=4.3592	
Epoch:[123]	 loss=22.9704	 mse=1.1877	 divloss=4.3565	
Epoch:[124]	 loss=22.9564	 mse=1.1872	 divloss=4.3538	
Epoch:[125]	 loss=22.9422	 mse=1.1865	 divloss=4.3512	
Epoch:[126]	 loss=22.9285	 mse=1.1860	 divloss=4.3485	
Epoch:[127]	 loss=22.9163	 mse=1.1865	 divloss=4.3460	
Epoch:[128]	 loss=22.9061	 mse=1.1885	 divloss=4.3435	
Epoch:[129]	 loss=22.8969	 mse=1.1908	 divloss=4.3412	
Epoch:[130]	 loss=22.8860	 mse=1.1906	 divloss=4.3391	
Epoch:[131]	 loss=22.8722	 mse=1.1870	 divloss=4.3371	
Epoch:[132]	 loss=22.8579	 mse=1.1822	 divloss=4.3351	
Epoch:[133]	 loss=22.8450	 mse=1.1789	 divloss=4.3332	
Epoch:[134]	 loss=22.8339	 mse=1.1772	 divloss=4.3313	
Epoch:[135]	 loss=22.8237	 mse=1.1766	 divloss=4.3294	
Epoch:[136]	 loss=22.8138	 mse=1.1765	 divloss=4.3275	
Epoch:[137]	 loss=22.8037	 mse=1.1763	 divloss=4.3255	
Epoch:[138]	 loss=22.7931	 mse=1.1758	 divloss=4.3235	
Epoch:[139]	 loss=22.7821	 mse=1.1749	 divloss=4.3215	
Epoch:[140]	 loss=22.7707	 mse=1.1736	 divloss=4.3194	
Epoch:[141]	 loss=22.7593	 mse=1.1722	 divloss=4.3174	
Epoch:[142]	 loss=22.7484	 mse=1.1712	 divloss=4.3154	
Epoch:[143]	 loss=22.7383	 mse=1.1709	 divloss=4.3135	
Epoch:[144]	 loss=22.7288	 mse=1.1708	 divloss=4.3116	
Epoch:[145]	 loss=22.7183	 mse=1.1693	 divloss=4.3098	
Epoch:[146]	 loss=22.7069	 mse=1.1665	 divloss=4.3081	
Epoch:[147]	 loss=22.6973	 mse=1.1652	 divloss=4.3064	
Epoch:[148]	 loss=22.6904	 mse=1.1667	 divloss=4.3047	
Epoch:[149]	 loss=22.6778	 mse=1.1625	 divloss=4.3031	
Epoch:[150]	 loss=22.6710	 mse=1.1639	 divloss=4.3014	
Epoch:[151]	 loss=22.6606	 mse=1.1612	 divloss=4.2999	
Epoch:[152]	 loss=22.6574	 mse=1.1655	 divloss=4.2984	
Epoch:[153]	 loss=22.6483	 mse=1.1640	 divloss=4.2969	
Epoch:[154]	 loss=22.6348	 mse=1.1575	 divloss=4.2955	
Epoch:[155]	 loss=22.6316	 mse=1.1612	 divloss=4.2941	
Epoch:[156]	 loss=22.6548	 mse=1.1914	 divloss=4.2927	
Epoch:[157]	 loss=22.6413	 mse=1.1839	 divloss=4.2915	
Epoch:[158]	 loss=22.6417	 mse=1.1905	 divloss=4.2903	
Epoch:[159]	 loss=22.6016	 mse=1.1557	 divloss=4.2892	
Epoch:[160]	 loss=22.6362	 mse=1.1957	 divloss=4.2881	
Epoch:[161]	 loss=22.6053	 mse=1.1703	 divloss=4.2870	
Epoch:[162]	 loss=22.6038	 mse=1.1739	 divloss=4.2860	
